Name,FileName,StartFrame,EndFrame,FaceFreezeFrame,Speed,TransitionInMs,TransitionOutMs,AutoFadeMs,Looping,Priority
ArtillerySpawn,turret_spawn.scw,-1,-1,,,,,1,,3
ArtilleryIdle,turret_idle.scw,-1,-1,,,,,,true,
ArtilleryAttack,turret_attack.scw,-1,-1,,100,,,1,,4
JunkerKnightWalk,jessie_knight_walk.scw,-1,-1,,150,100,100,,true,1
JunkerKnightIdle,jessie_knight_idle.scw,1,29,,,100,100,,true,
JunkerKnightPrimary,jessie_knight_attack.scw,1,5,,,,,1,,spine_lower_s#3
JunkerKnightUltiAttack,jessie_knight_idle.scw,1,29,,,200,200,10,,5
JunkerKnightRecoil,jessie_knight_attack.scw,5,15,,,25,,100,,spine_lower_s#4
JunkerKnightUltiRecoil,jessie_knight_idle.scw,1,29,,,200,200,100,,5
JunkerKnightReload,jessie_knight_idle.scw,1,29,,,200,200,200,,ChestBone#2
JunkerKnightPushback,jessie_knight_pushback.scw,-1,-1,,,100,100,100,,5
JunkerKnightWin,jessie_knight_win.scw,1,100,,,,,,,
JunkerKnightWinloop,jessie_knight_win.scw,100,130,,,,,,true,
JunkerKnightBattleWin,jessie_knight_battlewin.scw,1,107,,,,,,,
JunkerKnightBattleWinloop,jessie_knight_battlewin.scw,107,139,,,,,,true,
JunkerKnightLose,jessie_knight_lose.scw,1,56,,,,,,,
JunkerKnightLoseloop,jessie_knight_lose.scw,56,70,,,,,,true,
JunkerSummertimeWalk,jessie_summertime_walk.scw,-1,-1,,150,100,100,,true,1
CrowPheonixIdle,crow_pheonix_idle.scw,-1,-1,,,100,100,,true,
CrowPheonixWalk,crow_pheonix_walk.scw,1,29,,150,100,100,,true,1
CrowPheonixPrimary,crow_pheonix_attack.scw,1,5,,150,100,300,600,,spine_lower_s#4
CrowPheonixUltiAttack,crow_pheonix_ulti.scw,-1,-1,,,50,,10,,5
CrowPheonixRecoil,crow_pheonix_attack.scw,5,20,,150,,,100,,spine_lower_s#4
CrowPheonixReload,crow_pheonix_idle.scw,1,2,,,200,200,200,,spine_lower_s#4
CrowPheonixPushback,crow_pheonix_idle.scw,-1,-1,,,200,100,200,,5
CrowPheonixWin,crow_pheonix_win.scw,1,89,,,,,,,
CrowPheonixWinloop,crow_pheonix_win.scw,90,112,,,,,,true,
CrowPheonixLose,crow_pheonix_lose.scw,1,49,,,,,200,,
CrowPheonixLoseloop,crow_pheonix_lose.scw,50,75,,,,,,true,
CrowPheonixProfile,crow_pheonix_win.scw,66,66,,,,,,,
TurretWin,turret_dragon_win.scw,1,100,,,,,,,
TurretWinloop,turret_dragon_win.scw,100,130,,,,,,true,
UndertakerGreaserWin,mortis_greaser_win.scw,,80,,,,,,,1
UndertakerGreaserWinloop,mortis_greaser_win.scw,80,110,,,,,,true,1
UndertakerGreaserLose,mortis_greaser_lose.scw,,12,,,,,,,1
UndertakerGreaserLoseloop,mortis_greaser_lose.scw,12,50,,,,,,true,1
UndertakerGreaserIdle,mortis_greaser_idle.scw,,30,,,,,,true,
ShellyPreregIdle,shelly_prereg_idle.scw,,39,,,100,100,,true,
ShellyPreregWalk,shelly_prereg_walk.scw,1,30,,,100,100,,true,1
ShellyPreregPrimary,shelly_prereg_attack.scw,1,5,,,,,,,hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0
ShellyPreregSecondary,shelly_prereg_attack.scw,1,5,,,,,,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
ShellyPreregRecoil,shelly_prereg_attack.scw,6,20,,,,,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
ShellyPreregReload,shelly_prereg_reload.scw,1,-1,,,,,100,,hips_s#0+L_upperLeg_s#0+R_upperLeg_s#0+R_clavicle_s#4+R_shoulder_s#4+R_elbow_s#4+R_forearm_twist_s#4+R_wrist_s#4+L_clavicle_s#4+L_shoulder_s#4+L_elbow_s#4+L_forearm_twist_s#4+L_wrist_s#4
ShellyPreregPushback,shelly_prereg_pushback.scw,,-1,,,100,100,100,,5
ShellyPreregWin,shelly_prereg_win.scw,1,59,,,,,,,5
ShellyPreregWinloop,shelly_prereg_win.scw,60,102,,,,,,true,1
ShellyPreregLose,shelly_prereg_lose.scw,1,50,,,,,,,5
ShellyPreregLoseloop,shelly_prereg_lose.scw,50,130,,,,,,true,1
BarkeepBankerIdle,barley_banker_idle.scw,-1,-1,,,100,100,250,true,
BarkeepBankerWalk,barley_banker_walk.scw,,19,,120,100,100,,true,1
BarkeepBankerPrimary,barley_banker_attack1.scw,3,12,,,,,,,ChestBone#3
BarkeepBankerSecondary,barley_banker_attack1.scw,-1,-1,,,100,50,200,,ChestBone#3
BarkeepBankerRecoil,barley_banker_attack1.scw,3,12,,,10,10,10,,ChestBone#4
BarkeepBankerReload,barley_banker_idle.scw,-1,-1,,,200,200,200,,ChestBone#2
BarkeepBankerPushback,barley_banker_knockback.scw,-1,-1,,,100,100,100,,5
BarkeepBankerWin,barley_banker_win1.scw,,30,,,50,250,250,,
BarkeepBankerWinloop,barley_banker_win1.scw,30,80,,,25,,,true,
BarkeepBankerLose,barley_banker_lose1.scw,-1,-1,,130,,,50,,
BarkeepBankerLoseloop,barley_banker_lose1.scw,60,150,,120,,,,true,
BarkeepBankerWinidleloop,barley_banker_winidleloop.scw,-1,-1,,,,,,true,
BarkeepBankerProfile,barley_banker_idle.scw,1,1,,,,,,true,
ShellyBanditaIdle,shelly_bandita_idle.scw,,39,,,100,100,,true,
ShellyBanditaWalk,shelly_bandita_walk.scw,1,30,,,100,100,,true,1
ShellyBanditaPrimary,shelly_bandita_attack.scw,1,5,,,,,,,hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0
ShellyBanditaSecondary,shelly_bandita_attack.scw,1,5,,,,,,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
ShellyBanditaRecoil,shelly_bandita_attack.scw,6,20,,,,,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
ShellyBanditaReload,shelly_bandita_reload.scw,1,-1,,,,,100,,hips_s#0+L_upperLeg_s#0+R_upperLeg_s#0+R_clavicle_s#4+R_shoulder_s#4+R_elbow_s#4+R_forearm_twist_s#4+R_wrist_s#4+L_clavicle_s#4+L_shoulder_s#4+L_elbow_s#4+L_forearm_twist_s#4+L_wrist_s#4
ShellyBanditaPushback,shelly_pushback.scw,,-1,,,100,100,100,,5
ShellyBanditaWin,shelly_bandita_win.scw,1,59,,,,,,,5
ShellyBanditaWinloop,shelly_bandita_win.scw,60,102,,,,,,true,1
ShellyBanditaLose,shelly_bandita_lose.scw,1,50,,,,,,,5
ShellyBanditaLoseloop,shelly_bandita_lose.scw,50,130,,,,,,true,1
LeonIdle,leon_idle.scw,1,28,,,100,100,,true,
LeonWalk,leon_walk.scw,1,29,,170,100,100,,true,1
LeonAttack,leon_attack.scw,1,3,,,,,10,,spine_lower_s#4
LeonSecondary,leon_idle.scw,1,20,,,,,10,,spine_lower_s#4
LeonRecoil,leon_attack.scw,3,7,,,,,10,,spine_lower_s#4
LeonRecoil2,leon_attack.scw,7,11,,,,,10,,spine_lower_s#4
LeonReload,leon_idle.scw,,-1,,,,,100,,ChestBone#2
LeonPushback,leon_pushback.scw,1,34,,,100,100,100,,5
LeonWin,leon_win.scw,1,84,,,,10,100,,5
LeonWinloop,leon_win.scw,84,111,,,10,,,true,1
LeonLose,leon_lose.scw,1,45,,,,,,,5
LeonLoseloop,leon_lose.scw,45,50,,,,,,true,1
LeonProfile,leon_base_cam.scw,1,10,,,,,,true,5
LeonIntro,leon_intro_pose.scw,,,,,,,,,
BarkeepWizardIdle,barley_wizard_idle.scw,-1,-1,,,100,100,,true,
BarkeepWizardWalk,barley_wizard_walk.scw,,19,,120,100,100,,true,1
BarkeepWizardPrimary,barley_wizard_attack.scw,5,20,,,,,10,,spine_lower_s#4
BarkeepWizardSecondary,barley_wizard_attack.scw,5,20,,,,,10,,spine_lower_s#4
BarkeepWizardRecoil,barley_wizard_attack.scw,5,20,,,,,50,,spine_lower_s#4
BarkeepWizardReload,barley_wizard_idle.scw,-1,-1,,,,,50,,ChestBone#2
BarkeepWizardPushback,barley_wizard_pushback.scw,-1,-1,,,100,100,100,,5
BarkeepWizardWin,barley_wizard_win.scw,,40,,,,,,,
BarkeepWizardWinloop,barley_wizard_win.scw,40,120,,,,,,true,
BarkeepWizardLose,barley_wizard_lose.scw,-1,-1,,130,,,50,,
BarkeepWizardLoseloop,barley_wizard_lose.scw,60,150,,120,,,,true,
BarkeepWizardProfile,barley_wizard_portrait.scw,1,1,,,,,,,
BearReindeerIdle,bear_reindeer_idle.scw,-1,-1,,,100,100,,true,
BearReindeerWalk,bear_reindeer_walk.scw,1,40,,170,100,100,,true,1
BearReindeerAttack,bear_reindeer_attack.scw,-1,-1,,,100,200,150,,spine_lower_s#4
BearReindeerRecoil,bear_reindeer_attack.scw,-1,-1,,,1,1,50,,spine_lower_s#4
BearReindeerPushback,bear_reindeer_idle.scw,-1,-1,,,200,300,500,,5
BearReindeerWin,bear_reindeer_idle.scw,-1,-1,,,200,300,500,,5
PocoIdle,poco_idle.scw,-1,-1,,,100,100,,true,
PocoWalk,poco_walk.scw,-1,-1,,160,100,100,,true,1
PocoAttack,poco_attack.scw,,5,,,100,100,100,,spine_lower_s#3
PocoSecondary,poco_attack.scw,4,20,,,100,100,100,,spine_lower_s#3
PocoRecoil,poco_attack.scw,4,20,,,100,100,100,,spine_lower_s#4
PocoReload,poco_idle.scw,1,2,,,100,200,200,,spine_lower_s#2
PocoPushback,poco_idle.scw,,-1,,,200,300,500,,5
PocoWin,poco_win.scw,1,30,,,,,,,
PocoWinloop,poco_win.scw,30,90,,,,,,true,
PocoLose,poco_lose.scw,1,15,,,,,,,
PocoLoseloop,poco_lose.scw,15,20,,,,,,true,
PocoProfile,poco_win.scw,1,1,,,,,,,
GeneIdle,gene_anim_idle.scw,,79,,,100,100,,true,
GeneWalk,gene_anim_walk.scw,1,29,,120,100,100,,true,1
GeneAttack,gene_anim_attack.scw,1,5,,,,,,,hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0
GeneAttackRecoil,gene_anim_attack.scw,5,20,,,50,,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
GeneSecondary,gene_anim_super2.scw,1,30,,,,,,,hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0
GeneSecondaryRecoil,gene_anim_super2.scw,1,30,,,100,,200,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
GeneReload,gene_anim_reload.scw,1,25,,,100,200,200,,spine_lower_s#2
GenePushback,gene_anim_idle.scw,,20,,,200,300,500,,5
GeneWin,gene_anim_win.scw,1,119,,,,,,,
GeneWinloop,gene_anim_win.scw,120,204,,,,,,true,
GeneLose,gene_anim_lose.scw,,129,,,100,,,,
GeneLoseloop,gene_anim_lose.scw,130,224,,,,,,true,
GeneProfile,gene_base_cam.scw,1,1,,,,,,true,
DarrylIdle,darryl_idle.scw,1,-1,,,100,100,,true,
DarrylWalk,darryl_walk.scw,1,20,,,100,100,,true,1
DarrylPrimary,darryl_attack.scw,,10,,,100,100,100,,hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0
DarrylSecondary,darryl_super.scw,,29,,,1,1,1,true,5
DarrylRecoil,darryl_recoil_01.scw,1,10,,,,100,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
DarrylRecoil2,darryl_recoil_02.scw,1,10,,,,100,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
DarrylReload,darryl_idle.scw,,-1,,,800,800,800,,hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0
DarrylPushback,darryl_pushback.scw,1,10,,,50,100,200,,5
DarrylWin,darryl_win.scw,-1,-1,,,,,200,,
DarrylWinloop,darryl_winloop.scw,-1,-1,,,,,,true,
DarrylLose,darryl_lose.scw,-1,-1,,,,,200,,
DarrylHide,darryl_win.scw,,1,,,200,200,100,true,
DarrylLoseloop,darryl_lose.scw,45,45,,,,,,true,
DarrylProfile,darryl_win.scw,44,44,,,,,,true,
DarrylCnyIdle,darryl_cny_idle.scw,,-1,,,100,100,,true,
DarrylCnyWalk,darryl_cny_walk.scw,,20,,,100,100,,true,1
DarrylCnyPrimary,darryl_cny_attack.scw,,10,,,50,,,,hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0
DarrylCnySecondary,darryl_cny_super.scw,,29,,,1,1,1,,5
DarrylCnyRecoil,darryl_cny_recoil1.scw,,-1,,,,100,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
DarrylCnyRecoil2,darryl_cny_recoil2.scw,,-1,,,,100,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
DarrylCnyReload,darryl_cny_idle.scw,,-1,,,800,800,800,,ChestBone#2
DarrylCnyPushback,darryl_cny_pushback.scw,,-1,,,50,100,200,,5
DarrylCnyWin,darryl_cny_win.scw,,42,,,,200,200,,
DarrylCnyWinloop,darryl_cny_winloop.scw,1,29,,,200,,,true,
DarrylCnyLose,darryl_cny_lose.scw,,-1,,,,,200,,
DarrylCnyHide,darryl_cny_win.scw,,1,,,200,200,100,true,
DarrylCnyLoseloop,darryl_cny_lose.scw,45,45,,,,,,true,
DarrylCnyProfile,darryl_cny_win.scw,44,44,,,,,,,
UndertakerNightwitchWin,mortis_nightwitch_win.scw,1,77,,,,,,,1
UndertakerNightwitchWinloop,mortis_nightwitch_win.scw,77,106,,,,,,true,1
RoboWarsBaseIdle,siege_base.scw,-1,-1,,,,,,true,
RoboWarsBaseAttack,siege_base_attack.scw,-1,-1,,,,,1,,4
CarlIdle,carl_idle.scw,,-1,,,100,100,,true,
CarlWalk,carl_walk.scw,,-1,,,100,100,,true,1
CarlAttack,carl_attack.scw,1,5,,,100,100,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
CarlAttackRecoil,carl_attack.scw,5,35,,,100,200,200,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
CarlSecondary,carl_super.scw,1,59,,,200,200,200,true,5
CarlSecondaryRecoil,carl_super.scw,1,59,,,,,,true,5
CarlReload,carl_attack.scw,17,25,,,100,100,100,,5
CarlPushback,carl_idle.scw,-1,-1,,,200,300,500,,5
CarlWin,carl_win.scw,,-1,,,200,1000,500,,
CarlWinloop,carl_winloop.scw,1,29,,,2000,100,500,true,
CarlLose,carl_lose.scw,,-1,,,100,1000,500,,
CarlLoseloop,carl_loseloop.scw,1,80,,,2000,100,500,true,
CarlProfile,carl_base_cam.scw,1,10,,,,,,true,
ShamanShibaIdle,nita_shiba_idle.scw,1,34,,,100,100,,true,
ShamanShibaWalk,nita_shiba_walk.scw,1,29,,170,100,100,,true,1
ShamanShibaAttack,nita_attack.scw,1,20,,,,,10,,spine_lower_s#4
ShamanShibaSecondary,nita_attack.scw,1,20,,,,,10,,spine_lower_s#4
ShamanShibaRecoil,nita_attack.scw,1,20,,,,,100,,spine_lower_s#4
ShamanShibaReload,nita_idle.scw,-1,-1,,,,,100,,ChestBone#2
ShamanShibaPushback,nita_pushback.scw,-1,-1,,,100,100,100,,5
ShamanShibaWin,nita_shiba_win.scw,1,64,,,,,,,5
ShamanShibaWinloop,nita_shiba_win.scw,65,104,,,200,200,200,true,1
ShamanShibaLose,nita_lose.scw,1,30,,,,,,,5
ShamanShibaLoseloop,nita_lose.scw,30,35,,,,,,true,1
BearShibaIdle,bear_shiba_idle.scw,1,59,,,100,100,,true,
RosaIdle,rosa_idle.scw,1,25,,,100,100,,true,
RosaWalk,rosa_walk.scw,1,24,,,100,100,,true,1
RosaAttack,rosa_attack.scw,1,11,,,100,100,50,,hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0
RosaAttackRecoil,rosa_attack.scw,12,19,,,1,100,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
RosaAttackRecoil2,rosa_attack.scw,20,28,,,1,100,100,,hips_s#5+L_upperLeg_s#0+R_upperLeg_s#0
RosaUltRecoil,rosa_ult.scw,,-1,,,1,100,200,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
RosaUltRecoil2,rosa_detransform.scw,,-1,,,1,100,200,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
RosaWin,rosa_win.scw,1,130,,,100,200,500,,
RosaWinloop,rosa_win.scw,131,159,,,500,100,300,true,
RosaLose,rosa_lose.scw,1,49,,,100,100,200,,
RosaLoseloop,rosa_lose.scw,50,79,,,1,100,200,true,
RosaIdle_transform,rosa_idle_transform.scw,1,25,,,100,100,,true,
RosaWalk_transform,rosa_walk_transform.scw,1,24,,,100,100,,true,1
RosaAttack_transform,rosa_attack_transform.scw,1,11,,,100,100,50,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
RosaAttackRecoil_transform,rosa_attack_transform.scw,12,19,,,1,100,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
RosaAttackRecoil2_transform,rosa_attack_transform.scw,20,28,,,1,100,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
RosaProfile,rosa_idle.scw,1,1,,,,,,true,
ArtilleryBunnySpawn,bunny_turret_anim_spawn.scw,-1,-1,,,,,1,,3
ArtilleryBunnyIdle,bunny_turret_anim_idle.scw,-1,-1,,,,,,true,
ArtilleryBunnyIdleMenu,bunny_turret_anim_idlemenu.scw,-1,-1,,,,,,true,
ArtilleryBunnyAttack,bunny_turret_anim_attack.scw,-1,-1,,100,,,1,,4
ArtilleryGalBunnyWalk,penny_bunny_walk.scw,1,28,,150,100,100,,true,1
ArtilleryGalBunnyWin,penny_bunny_win.scw,1,62,,,,,,,
ArtilleryGalBunnyWinloop,penny_bunny_win.scw,63,92,,,,,,true,
ArtilleryGalBunnyLose,penny_bunny_win.scw,1,50,,,,,,,
ArtilleryGalBunnyLoseloop,mari_lose.scw,40,50,,,,,,true,
BarkeepMsIdle,barley_ms_idle.scw,1,60,,,100,100,350,true,
BarkeepMsWalk,barley_ms_walk.scw,,16,,,100,100,100,true,1
BarkeepMsWin,barley_ms_win.scw,-1,-1,,,50,250,250,,
BarkeepMsPrimary,barley_ms_attack.scw,3,24,,,100,100,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BarkeepMsReload,barley_ms_idle.scw,-1,-1,,,200,200,200,,ChestBone#2
BarkeepMsSecondary,barley_ms_attack.scw,3,24,,,100,100,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BarkeepMsLose,barley_ms_lose.scw,-1,29,,,100,100,200,,
BarkeepMsLoseloop,barley_ms_lose.scw,30,90,,,100,100,200,true,
BarkeepMsProfile,barley_ms_idle.scw,1,1,,,100,100,350,true,
BarkeepMsIntro,barley_bakesale_intro_pose.scw,,,,,,,,,
BrockHotrodIdle,brock_hotrod_idle.scw,,-1,,135,100,100,,true,
BrockHotrodWalk,brock_hotrod_run.scw,-1,-1,,150,100,100,,true,1
BrockHotrodPrimary,brock_hotrod_attack.scw,,-1,,,1,300,300,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BrockHotrodSecondary,brock_hotrod_attack.scw,,-1,,,1,,,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BrockHotrodRecoil,brock_hotrod_attack.scw,,-1,,,1,100,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BrockHotrodRecoil2,brock_hotrod_attack.scw,,-1,,,1,100,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BrockHotrodPushback,brock_pushback1.scw,,-1,,,100,100,100,,5
BrockHotrodWin,brock_hotrod_win.scw,,50,,,,500,500,,5
BrockHotrodWinloop,brock_hotrod_winloop.scw,,59,,,500,,500,true,5
BrockHotrodLose,brock_hotrod_lose.scw,1,70,,,,,,,5
BrockHotrodLoseloop,brock_hotrod_lose.scw,70,110,,,,,,true,5
BibiIdle,bibi_idle.scw,1,29,,,100,100,,true,
BibiWalk,bibi_run.scw,1,29,,,120,200,,true,1
BibiPrimary,bibi_attack.scw,1,51,,,100,100,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BibiSecondary,bibi_attack.scw,1,51,,,100,100,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BibiRecoil,bibi_attack.scw,22,51,,,1,100,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BibiPushback,bibi_pushback.scw,-1,-1,,,100,100,100,,5
BibiRecoil2,bibi_attack.scw,17,51,,,100,100,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BibiWin,bibi_win.scw,1,163,,,100,,,,5
BibiWinloop,bibi_win.scw,164,262,,,,,,true,1
BibiLose,bibi_lose.scw,1,29,,,,,,,5
BibiLoseloop,bibi_lose.scw,30,89,,,,,,true,1
BibiProfile,bibi_win.scw,108,108,,,,,,,5
CarlHotrodIdle,carl_hotrod_idle.scw,,-1,,,100,100,,true,
CarlHotrodWalk,carl_hotrod_walk.scw,,-1,,,100,100,,true,1
CarlHotrodAttack,carl_hotrod_attack.scw,1,5,,,100,100,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
CarlHotrodAttackRecoil,carl_hotrod_attack.scw,5,35,,,100,200,200,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
CarlHotrodSecondary,carl_hotrod_super.scw,1,59,,,200,200,200,true,5
CarlHotrodSecondaryRecoil,carl_hotrod_super.scw,1,59,,,,,,true,5
CarlHotrodReload,carl_hotrod_attack.scw,17,25,,,100,100,100,,5
CarlHotrodPushback,carl_hotrod_idle.scw,-1,-1,,,200,300,500,,5
CarlHotrodWin,carl_hotrod_win.scw,,-1,,,200,1000,500,,
CarlHotrodWinloop,carl_hotrod_winloop.scw,1,29,,,2000,100,500,true,
CarlHotrodLose,carl_hotrod_lose.scw,,-1,,,100,1000,500,,
CarlHotrodLoseloop,carl_hotrod_loseloop.scw,1,80,,,2000,100,500,true,
BarkeepLumberjackIdle,barley_lumberjack_idle.scw,1,59,,,100,100,250,true,
BarkeepLumberjackWalk,barley_lumberjack_run.scw,,19,,120,100,100,100,true,1
BarkeepLumberjackPrimary,barley_lumberjack_attack.scw,3,12,,,,,,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BarkeepLumberjackSecondary,barley_lumberjack_attack.scw,-1,-1,,,100,50,200,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BarkeepLumberjackRecoil,barley_lumberjack_attack.scw,3,12,,,10,10,10,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BarkeepLumberjackReload,barley_lumberjack_idle.scw,1,2,,,200,200,200,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BarkeepLumberjackPushback,barley_lumberjack_pushback.scw,-1,-1,,,100,100,100,,5
BarkeepLumberjackWin,barley_lumberjack_win.scw,,70,,,100,200,200,,
BarkeepLumberjackWinloop,barley_lumberjack_idle.scw,1,59,,,200,200,200,true,
BarkeepLumberjackLose,barley_lumberjack_lose.scw,1,59,,120,100,,,,
BarkeepLumberjackLoseloop,barley_lumberjack_lose.scw,60,149,,120,,,,true,
BarkeepLumberjackProfile,barley_lumberjack_idle.scw,1,1,,,,,,true,
BrockBoomboxIdle,brock_boombox_idle.scw,,-1,,135,100,100,,true,
BrockBoomboxWalk,brock_boombox_walk.scw,,30,,150,100,100,,true,1
BrockBoomboxPrimary,brock_boombox_attack.scw,,-1,,,1,300,300,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BrockBoomboxSecondary,brock_boombox_attack.scw,,-1,,,1,,,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BrockBoomboxRecoil,brock_boombox_attack.scw,,-1,,,1,100,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BrockBoomboxRecoil2,brock_boombox_attack.scw,,-1,,,1,100,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BrockBoomboxLose,brock_boombox_lose.scw,1,70,,,,,,,5
BrockBoomboxLoseloop,brock_boombox_lose.scw,70,110,,,,,,true,5
CrowMechaIdle,crow_mecha_idle.scw,1,34,,,100,100,,true,
CrowMechaWalk,crow_mecha_run.scw,1,24,,,100,100,,true,1
CrowMechaPrimary,crow_mecha_attack.scw,1,3,,,100,100,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
CrowMechaSecondary,crow_mecha_ult.scw,5,-1,,,50,50,200,,5
CrowMechaRecoil,crow_mecha_attack.scw,4,20,,,50,50,200,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
CrowMechaReload,crow_mecha_idle.scw,1,3,,,200,200,200,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
CrowMechaPushback,crow_mecha_pushback.scw,,-1,,,200,100,200,,5
CrowMechaWin,crow_mecha_win.scw,1,143,,,,,,,
CrowMechaWinloop,crow_mecha_win.scw,144,202,,,,,,true,
CrowMechaLose,crow_mecha_lose.scw,1,45,,,,,,,
CrowMechaLoseloop,crow_mecha_lose.scw,45,45,,,,,,true,
CrowMechaProfile,crow_mecha_win.scw,21,21,,,,,,,
BoMechaIdle,bo_mecha_idle.scw,1,59,,,100,100,,true,
BoMechaWalk,bo_mecha_run.scw,1,20,,80,200,200,,true,1
BoMechaAttack,bo_mecha_attack.scw,1,10,,,,,50,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BoMechaSecondary,bo_mecha_ult.scw,1,10,,,100,200,350,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BoMechaRecoil,bo_mecha_attack.scw,8,30,,,,,350,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BoMechaRecoil2,bo_mecha_ult.scw,5,30,,,100,100,50,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BoMechaWin,bo_mecha_win.scw,1,144,,,100,,,,
BoMechaWinloop,bo_mecha_win.scw,145,202,,,,,,true,
BoMechaLose,bo_mecha_lose.scw,1,36,,,100,,,,
BoMechaLoseloop,bo_mecha_lose.scw,36,36,,,,,,true,
BoMechaPushback,bo_mecha_pushback.scw,1,30,,,50,100,,true,5
BoMechaProfile,bo_mecha_win.scw,93,93,,,,,,true,
SpikeMechaWalk,spike_mecha_walk.scw,,20,,125,,,,true,1
SpikeMechaWin,spike_mecha_win.scw,,43,,,,,,,5
SpikeMechaWinloop,spike_mecha_win.scw,43,63,,,,,,true,1
SpikeMechaLose,spike_mecha_lose.scw,,79,,,,,,,5
SpikeMechaLoseloop,spike_mecha_lose.scw,80,-1,,,,,,,1
TickIdle,tick_idle.scw,1,47,,,,,,true,
TickWalk,tick_walk.scw,1,21,,125,,,,true,1
TickWin,tick_win.scw,1,97,,,,,,,
TickWinloop,tick_win.scw,97,143,,,,,,true,
TickProfile,tick_idle.scw,16,16,,,,,,,
TickPrimary,tick_attack.scw,1,20,,,,,25,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
TickSecondary,tick_ult.scw,1,20,,,,,25,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
TickRecoil,tick_attack.scw,1,20,,,,,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
TickUltRecoil,tick_ult.scw,1,20,,,,,300,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
TickLose,tick_lose.scw,1,74,,,,,,,
TickLoseloop,tick_lose.scw,74,-1,,,,,,true,
BombheadIdle,bombhead_idle.scw,1,12,,,,,,true,
TntDudeMechaIdle,dynamike_mecha_idle.scw,1,59,,,,,,true,
TntDudeMechaWalk,dynamike_mecha_walk.scw,1,20,,,,,,true,1
TntDudeMechaPrimary,dynamike_mecha_attack.scw,1,5,,,,,100,,chest_s#4
TntDudeMechaRecoil,dynamike_mecha_attack.scw,5,25,,,,,200,,chest_s#4
