Name,Character,Model,ModelCNOverride,GadgetModel,PortraitCameraFile,IntroCameraFile,MirrorIntro,IdleAnim,WalkAnim,PrimarySkillAnim,SecondarySkillAnim,PrimarySkillRecoilAnim,PrimarySkillRecoilAnim2,SecondarySkillRecoilAnim,SecondarySkillRecoilAnim2,ReloadingAnim,PushbackAnim,HappyAnim,HappyLoopAnim,SadAnim,SadLoopAnim,HeroScreenIdleAnim,HeroScreenAnim,HeroScreenLoopAnim,SignatureAnim,HappyEnterAnim,SadEnterAnim,ProfileAnim,IntroAnim,BossAutoAttackAnim,BossAutoAttackRecoilAnim,BossAutoAttackRecoilAnim2,GadgetActiveAnim,GadgetRecoilAnim,IdleFace,WalkFace,HappyFace,HappyLoopFace,SadFace,SadLoopFace,HeroScreenIdleFace,HeroScreenFace,HeroScreenLoopFace,SignatureFace,ProfileFace,IntroFace,HappyEffect,SadEffect,PetInSameSprite,AttackLocksAttackAngle,UltiLocksAttackAngle,MainAttackProjectile,SecondaryProjectile,UltiProjectile,MainAttackEffect,UltiAttackEffect,UseBlueTextureInMenus,MainAttackUseEffect,UltiUseEffect,UltiEndEffect,MeleeHitEffect,SpawnEffect,UltiLoopEffect,UltiLoopEffect2,StarPower1Effect,StarPower2Effect,AreaEffect,AreaEffectStarPower,AreaEffectStarPower2,AreaEffectAttack,SpawnedItem,KillCelebrationSoundVO,InLeadCelebrationSoundVO,StartSoundVO,UseUltiSoundVO,TakeDamageSoundVO,DeathSoundVO,AttackSoundVO,BoneEffect1,BoneEffect2,BoneEffect3,BoneEffect4,BoneEffectUse,AutoAttackProjectile,ProjectileForShockyStarPower,IncendiaryStarPowerAreaEffect,MoveEffect,StillEffect,ChargedShotEffect,DisableHeadRotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PocoValentine,DeadMariachi,poco_valentine_geo.scw,,,poco_base_cam.scw,emz_intro_pose.scw,,PocoIdle,PocoWalk,PocoAttack,PocoSecondary,PocoRecoil,,PocoRecoil,,PocoReload,PocoPushback,PocoWin,PocoWinloop,PocoLose,PocoLoseloop,PocoIdle,PocoWin,PocoWinloop,PocoWin,PocoIdle,PocoIdle,PocoProfile,PocoProfile,,,,,,Poco003Still,Poco003Still,Poco003Win,Poco003WinLoop,Poco003Lose,Poco003LoseLoop,Poco003WinLoop,Poco003Win,Poco003WinLoop,Poco003Win,Poco003Still,Poco003WinLoop,,,,,,Poco002Projectile,,Poco002UltiProjectile,poco_002_atk_direct,poco_002_atk_direct,,poco_002_atk_root,poco_002_atk_root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PocoPirate,DeadMariachi,poco_pirate_geo.scw,,,poco_base_cam.scw,emz_intro_pose.scw,,PocoPirateIdle,PocoPirateWalk,PocoAttack,PocoSecondary,PocoRecoil,,PocoRecoil,,PocoReload,PocoPushback,PocoPirateHappy,PocoPirateHappyLoop,PocoPirateLose,PocoPirateLoseloop,PocoPirateIdle,PocoPirateHappy,PocoPirateHappyLoop,PocoPirateHappy,PocoPirateIdle,PocoPirateIdle,PocoPirateProfile,PocoPirateProfile,,,,,,Poco002Still,Poco002Still,Poco002Win,Poco002WinLoop,Poco002Lose,Poco002LoseLoop,Poco002WinLoop,Poco002Win,Poco002WinLoop,Poco002Win,Poco002Still,Poco002Still,,,,,,Poco003Projectile,,Poco003UltiProjectile,poco_003_atk_direct,,,poco_003_atk_root,poco_003_atk_root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PocoStarr,DeadMariachi,poco_starr_geo.scw,,,poco_starr_portrait.scw,emz_intro_pose.scw,,PocoIdle,PocoWalk,PocoAttack,PocoSecondary,PocoRecoil,,PocoRecoil,,PocoReload,PocoPushback,PocoWin,PocoWinloop,PocoLose,PocoLoseloop,PocoIdle,PocoWin,PocoWinloop,PocoWin,PocoIdle,PocoIdle,PocoStarrPortrait,PocoProfile,,,,,,PocoStill,PocoStill,PocoWin,PocoWinLoop,PocoLose,PocoLoseLoop,PocoWinLoop,PocoWin,PocoWinLoop,PocoWin,PocoStill,PocoStill,,,,,,,,,,,,poco_003_atk_root,poco_003_atk_root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PocoPunk,DeadMariachi,poco_punk_geo.scw,,,poco_punk_portrait.glb,emz_intro_pose.scw,,DeadMariachiPunkIdle,DeadMariachiPunkWalk,DeadMariachiPunkAttack,DeadMariachiPunkSecondary,DeadMariachiPunkRecoil,,DeadMariachiPunkRecoil,,DeadMariachiPunkReload,DeadMariachiPunkPushback,DeadMariachiPunkWin,DeadMariachiPunkWinloop,DeadMariachiPunkLose,DeadMariachiPunkLoseloop,DeadMariachiPunkIdle,DeadMariachiPunkWin,DeadMariachiPunkWinloop,DeadMariachiPunkWin,DeadMariachiPunkIdle,DeadMariachiPunkIdle,DeadMariachiPunkProfile,DeadMariachiPunkProfile,,,,,,Poco004Still,Poco004Still,Poco004Win,Poco004WinLoop,Poco004Lose,Poco004LoseLoop,Poco004WinLoop,Poco004Win,Poco004WinLoop,Poco004Win,Poco004Still,Poco004Still,,,,true,true,Poco004Projectile,,,Poco004UltiProjectile,,,,,,,poco_004_atk_root,,,,,reload_dead_mariachi_punk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BowDudeDefault,BowDude,bo_geo.scw,,,bo_base_cam.scw,emz_intro_pose.scw,,BowGuyIdle,BowGuyWalk,BowGuyAttack,BowGuySecondary,BowGuyRecoil,,BowGuyRecoil2,,,BowGuyIdle,BowGuyWin,BowGuyWinloop,BowGuyLose,BowGuyLoseloop,BowGuyIdle,BowGuyWin,BowGuyWinloop,BowGuyWin,BowGuyIdle,BowGuyIdle,BowGuyProfile,BowGuyProfile,,,,,,BoStill,BoStill,BoWin,BoWinLoop,BoLose,BoLoseLoop,BoWinLoop,BoWin,BoWinLoop,BoWin,BoStill,BoStill,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BoMecha,BowDude,bo_mecha_geo.scw,,,bo_mecha_cam.scw,emz_intro_pose.scw,,BoMechaIdle,BoMechaWalk,BoMechaAttack,BoMechaSecondary,BoMechaRecoil,BoMechaRecoil,BoMechaRecoil2,BoMechaRecoil2,BoMechaIdle,BoMechaPushback,BoMechaWin,BoMechaWinloop,BoMechaLose,BoMechaLoseloop,BoMechaIdle,BoMechaWin,BoMechaWinloop,BoMechaWin,BoMechaIdle,BoMechaIdle,BoMechaProfile,BoMechaProfile,,,,,,Bo004Still,Bo004Still,Bo004Win,Bo004WinLoop,Bo004Lose,Bo004LoseLoop,Bo004WinLoop,Bo004Win,Bo004WinLoop,Bo004Win,Bo004Still,Bo004WinLoop,,,,,true,Bow002Projectile,,Bow002UltiProjectile,bo_002_atk,bo_002_ulti,,,,,,,,,,,,,,,MineMecha,Mech_Bo_kill,Mech_Bo_lead,Mech_Bo_start,Mech_Bo_ulti_vo,Mech_Bo_hurt,Mech_Bo_die,Mech_Bo_atk_vo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BowDudeHorus,BowDude,bo_falcon_geo.scw,,,bo_falcon_portrait.scw,emz_intro_pose.scw,,BoFalconIdle,BoFalconWalk,BoFalconAttack,BoFalconSecondary,BoFalconRecoil,,BoFalconRecoil2,,,BoFalconIdle,BoFalconWin,BoFalconWinloop,BoFalconLose,BoFalconLoseloop,BoFalconIdle,BoFalconWin,BoFalconWinloop,BoFalconWin,BoFalconIdle,BoFalconIdle,BoFalconProfile,BoFalconProfile,,,,,,Bo003Still,Bo003Still,Bo003Win,Bo003WinLoop,Bo003Lose,Bo003LoseLoop,Bo003WinLoop,Bo003Win,Bo003WinLoop,Bo003Win,Bo003Still,Bo003Still,,,,,,Bo003Projectile,,Bo003UltiProjectile,bo_003_atk,,true,,,,,,,,,,,,,,MineHorus,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BowDudeDemon,BowDude,bo_demonic_geo.scw,,,bo_base_cam.scw,emz_intro_pose.scw,,BoDemonIdle,BoDemonWalk,BoDemonAttack,BoDemonSecondary,BoDemonRecoil,,BoDemonRecoil2,,,BoDemonIdle,BoDemonWin,BoDemonWinloop,BoDemonLose,BoDemonLoseloop,BoDemonIdle,BoDemonWin,BoDemonWinloop,BoDemonWin,BoDemonIdle,BoDemonIdle,BoDemonProfile,BoDemonProfile,,,,,,BoStill,BoStill,BoWin,BoWinLoop,BoLose,BoLoseLoop,BoWinLoop,BoWin,BoWinLoop,BoWin,BoStill,BoStill,,,,,,Bo004Projectile,,Bo004UltiProjectile,,,true,,,,,,,,,,,,,,MineDemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BowDudeWarrior,BowDude,bo_warrior_geo.scw,,,bo_base_cam.scw,emz_intro_pose.scw,,BowGuyIdle,BowGuyWalk,BowGuyAttack,BowGuySecondary,BowGuyRecoil,,BowGuyRecoil2,,,BowGuyIdle,BowGuyWin,BowGuyWinloop,BowGuyLose,BowGuyLoseloop,BowGuyIdle,BowGuyWin,BowGuyWinloop,BowGuyWin,BowGuyIdle,BowGuyIdle,BowGuyProfile,BowGuyProfile,,,,,,BoStill,BoStill,BoWin,BoWinLoop,BoLose,BoLoseLoop,BoWinLoop,BoWin,BoWinLoop,BoWin,BoStill,BoStill,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BowDudeTotemDefault,BowDudeTotem,bo_gadget_totem_geo.scw,,,portrait_cam.scw,emz_intro_pose.scw,,8bitTurretIdle,8bitTurretIdle,8bitTurretIdle,8bitTurretIdle,8bitTurretIdle,,8bitTurretIdle,,8bitTurretIdle,8bitTurretIdle,8bitTurretSpawn,8bitTurretIdle,,8bitTurretIdle,8bitTurretIdle,,8bitTurretIdle,,8bitTurretIdle,8bitTurretIdle,8bitTurretIdle,8bitTurretIdle,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SniperDefault,Sniper,piper_geo.scw,,piper_gadget_pistol_geo.scw,piper_portrait.scw,emz_intro_pose.scw,,SniperIdle,SniperWalk,SniperAttack,SniperSecondary,SniperRecoil,,SniperRecoil,,SniperReload,SniperPushback,SniperWin,SniperWinloop,SniperLose,SniperLoseloop,SniperIdle,SniperWin,SniperWinloop,SniperWin,SniperIdle,SniperIdle,SniperProfile,SniperProfile,,,,SniperGadgetPistolAttack,SniperGadgetPistolRecoil,PiperIdleOpen,PiperIdleOpen,PiperWin,PiperWinLoop,PiperIdleClosed,PiperIdleClosed,PiperIdleClosed,PiperWin,PiperWinLoop,PiperIdleClosed,PiperIdleClosed,PiperIdleOpen,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SniperPink,Sniper,piper_geo.scw,,piper_gadget_pistol_geo.scw,piper_portrait.scw,emz_intro_pose.scw,,SniperIdle,SniperWalk,SniperAttack,SniperSecondary,SniperRecoil,,SniperRecoil,,SniperReload,SniperPushback,SniperWin,SniperWinloop,SniperLose,SniperLoseloop,SniperIdle,SniperWin,SniperWinloop,SniperWin,SniperIdle,SniperIdle,SniperProfile,SniperProfile,,,,SniperGadgetPistolAttack,SniperGadgetPistolRecoil,PiperStillOpen,PiperStillOpen,PiperWin,PiperWinLoop,PiperLose,PiperLoseLoop,PiperWinLoop,PiperWin,PiperWinLoop,PiperWin,PiperStillClosed,PiperWinLoop,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sniperrose,Sniper,piper_rose_geo.scw,,piper_gadget_pistol_geo.scw,piper_portrait.scw,emz_intro_pose.scw,,SniperIdle,SniperWalk,SniperAttack,SniperSecondary,SniperRecoil,,SniperRecoil,,SniperReload,SniperPushback,SniperWin,SniperWinloop,SniperLose,SniperLoseloop,SniperIdle,SniperWin,SniperWinloop,SniperWin,SniperIdle,SniperIdle,SniperProfile,SniperProfile,,,,SniperGadgetPistolAttack,SniperGadgetPistolRecoil,Piper002StillOpen,Piper002StillOpen,Piper002Win,Piper002WinLoop,Piper002Lose,Piper002LoseLoop,Piper002WinLoop,Piper002Win,Piper002WinLoop,Piper002Win,Piper002StillClosed,Piper002StillClosed,,,,true,,Piper005Projectile,,,piper_005_atk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SniperValentines,Sniper,piper_valentines_geo.scw,,piper_gadget_pistol_geo.scw,piper_valentines_cam.scw,emz_intro_pose.scw,,SniperValentinesIdle,SniperValentinesWalk,SniperValentinesAttack,SniperSecondary,SniperValentinesRecoil,,SniperValentinesRecoil,,SniperValentinesReload,SniperPushback,SniperValentinesWin,SniperValentinesWinloop,SniperValentinesLose,SniperValentinesLoseloop,SniperValentinesIdle,SniperValentinesWin,SniperValentinesWinloop,SniperValentinesWin,SniperValentinesIdle,SniperValentinesIdle,SniperProfile,SniperProfile,,,,SniperGadgetPistolAttack,SniperGadgetPistolRecoil,PiperIdleOpen,PiperIdleOpen,PiperWin,PiperWinLoop,PiperIdleClosed,PiperIdleClosed,PiperIdleClosed,PiperWin,PiperWinLoop,PiperIdleClosed,PiperIdleClosed,PiperIdleOpen,,,,true,,Piper002Projectile,,,piper_002_atk,,,,piper_002_ulti,,,,,,,,,,,,ValentineBomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SniperChoco,Sniper,piper_choco_geo.scw,,piper_gadget_pistol_geo.scw,piper_portrait.scw,emz_intro_pose.scw,,SniperLineIdle,SniperLineWalk,SniperLineAttack,SniperLineSecondary,SniperRecoil,,SniperRecoil,,SniperReload,SniperPushback,SniperLineWin,SniperLineWinloop,SniperLineLose,SniperLineLoseloop,SniperIdle,SniperLineWin,SniperLineWinloop,SniperLineWin,SniperIdle,SniperIdle,SniperLineWinloop,SniperLineWinloop,,,,SniperGadgetPistolAttack,SniperGadgetPistolRecoil,PiperStillOpen,PiperStillOpen,Piper003Win,Piper003WinLoop,Piper003Lose,Piper003LoseLoop,Piper003WinLoop,Piper003Win,Piper003WinLoop,Piper003Win,PiperStillClosed,PiperStillClosed,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SniperSilver,Sniper,piper_geo.scw,,piper_gadget_pistol_geo.scw,piper_portrait.scw,emz_intro_pose.scw,,SniperIdle,SniperWalk,SniperAttack,SniperSecondary,SniperRecoil,,SniperRecoil,,SniperReload,SniperPushback,SniperWin,SniperWinloop,SniperLose,SniperLoseloop,SniperIdle,SniperWin,SniperWinloop,SniperWin,SniperIdle,SniperIdle,SniperProfile,SniperProfile,,,,SniperGadgetPistolAttack,SniperGadgetPistolRecoil,,,,,,,,,,,,,gen_silver_lobby_aura,gen_silver_lobby_aura,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gen_silver_moving,gen_silver_moving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SniperGold,Sniper,piper_geo.scw,,piper_gadget_pistol_geo.scw,piper_portrait.scw,emz_intro_pose.scw,,SniperIdle,SniperWalk,SniperAttack,SniperSecondary,SniperRecoil,,SniperRecoil,,SniperReload,SniperPushback,SniperWin,SniperWinloop,SniperLose,SniperLoseloop,SniperIdle,SniperWin,SniperWinloop,SniperWin,SniperIdle,SniperIdle,SniperProfile,SniperProfile,,,,SniperGadgetPistolAttack,SniperGadgetPistolRecoil,,,,,,,,,,,,,gen_gold_lobby_aura,gen_gold_lobby_aura,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gen_silver_moving,gen_silver_moving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinigunDudeDefault,MinigunDude,pam_geo.scw,,,pam_base_cam.scw,emz_intro_pose.scw,,PamIdle,PamWalk,PamAttack,PamSecondary,PamRecoil,,PamSecondaryRecoil,,PamReload,PamPushback,PamWin,PamWinloop,PamLose,PamLoseloop,PamIdle,PamWin,PamWinloop,PamWin,PamIdle,PamIdle,PamPortrait,PamPortrait,,,,,,PamFace,PamFace,PamHappy,PamFace,PamFace,PamFace,PamFace,PamHappy,PamFace,PamFace,PamStill,PamStill,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinigunDudeSummer,MinigunDude,pam_summer_geo.scw,,,pam_base_cam.scw,emz_intro_pose.scw,,PamIdle,PamWalk,PamAttack,PamSecondary,PamRecoil,,PamSecondaryRecoil,,PamReload,PamPushback,PamWin,PamWinloop,PamLose,PamLoseloop,PamIdle,PamWin,PamWinloop,PamWin,PamIdle,PamIdle,PamPortrait,PamPortrait,,,,,,,,,,,,,,,,,,,,,true,true,Pam002Projectile,,Pam002UltiProjectile,pam_002_atk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HealstationDefault,HealingStation,pam_turret_geo.scw,,,portrait_cam.scw,emz_intro_pose.scw,,PamTurretIdle,PamTurretIdle,PamTurretIdle,PamTurretIdle,PamTurretIdle,,PamTurretIdle,,PamTurretIdle,PamTurretIdle,PamTurretSpawn,PamTurretIdle,,PamTurretIdle,PamTurretIdle,,PamTurretIdle,,PamTurretIdle,PamTurretIdle,PamTurretIdle,PamTurretIdle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HealingStationSummer,HealingStation,pam_summer_turret_geo.scw,,,portrait_cam.scw,emz_intro_pose.scw,,PamTurretIdle,PamTurretIdle,PamTurretIdle,PamTurretIdle,PamTurretIdle,,PamTurretIdle,,PamTurretIdle,PamTurretIdle,PamTurretSpawn,PamTurretIdle,,PamTurretIdle,PamTurretIdle,,PamTurretIdle,,PamTurretIdle,PamTurretIdle,PamTurretIdle,PamTurretIdle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PamOriginal,MinigunDude,minigunner_geo.scw:body+head+nozzle+hose+backpack,,,pam_base_cam.scw,emz_intro_pose.scw,,MinigunnerIdle,MinigunnerWalk,MinigunnerPrimary,MinigunnerSecondary,MinigunnerRecoil,,MinigunnerRecoil2,,MinigunnerReload,MinigunnerPushback,MinigunnerWin,MinigunnerWinloop,MinigunnerLose,MinigunnerLoseloop,MinigunnerIdle,MinigunnerWin,MinigunnerWinloop,MinigunnerWin,MinigunnerIdle,MinigunnerIdle,MinigunnerProfile,MinigunnerProfile,,,,,,PamFace,PamFace,PamHappy,PamFace,PamFace,PamFace,PamFace,PamHappy,PamFace,PamHappy,PamFace,PamFace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackholeDefault,BlackHole,tara_geo.scw,,,tara_base_cam.scw,emz_intro_pose.scw,,TaraIdle,TaraWalk,TaraPrimary,TaraSecondary,TaraRecoil,,TaraSecondaryRecoil,,TaraReload,TaraIdle,TaraWin,TaraWinloop,TaraLose,TaraLoseloop,TaraIdle,TaraWin,TaraWinloop,TaraWin,TaraIdle,TaraIdle,TaraProfile,TaraProfile,,,,,,TaraStill,TaraStill,TaraWin,TaraWinLoop,TaraLose,TaraLoseLoop,TaraWinLoop,TaraWin,TaraWinLoop,TaraWin,TaraStill,TaraStill,,,,true,true,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackHoleBlue,BlackHole,tara_blue_geo.scw,,,tara_base_cam.scw,emz_intro_pose.scw,,TaraIdle,TaraWalk,TaraPrimary,TaraSecondary,TaraRecoil,,TaraSecondaryRecoil,,TaraReload,TaraIdle,TaraWin,TaraWinloop,TaraLose,TaraLoseloop,TaraIdle,TaraWin,TaraWinloop,TaraWin,TaraIdle,TaraIdle,TaraProfile,TaraProfile,,,,,,TaraStill,TaraStill,TaraWin,TaraWinLoop,TaraLose,TaraLoseLoop,TaraWinLoop,TaraWin,TaraWinLoop,TaraWin,TaraStill,TaraStill,,,,true,true,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackHoleStreetNinja,BlackHole,tara_streetninja_geo.scw,,,tara_streetninja_portrait.scw,emz_intro_pose.scw,,TaraStreetninjaIdle,TaraStreetninjaWalk,TaraStreetninjaPrimary,TaraStreetninjaSecondary,TaraStreetninjaRecoil,,TaraStreetninjaSecondaryRecoil,,TaraStreetninjaReload,TaraStreetninjaIdle,TaraStreetninjaWin,TaraStreetninjaWinloop,TaraStreetninjaLose,TaraStreetninjaLoseloop,TaraStreetninjaIdle,TaraStreetninjaWin,TaraStreetninjaWinloop,TaraStreetninjaWin,TaraStreetninjaIdle,TaraStreetninjaIdle,TaraStreetninjaProfile,TaraStreetninjaProfile,,,,,,Tara002Still,Tara002Still,Tara002Win,Tara002WinLoop,Tara002Lose,Tara002LoseLoop,Tara002WinLoop,Tara002Win,Tara002WinLoop,Tara002Win,Tara002Still,Tara002Still,,,,true,true,Tara002Projectile,,Tara002UltiProjectile,tara_002_atk,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackHoleMisfortune,BlackHole,tara_misfortune_geo.scw,,,tara_misfortune_portrait.scw,emz_intro_pose.scw,,BlackHoleMisfortuneIdle,BlackHoleMisfortuneWalk,BlackHoleMisfortunePrimary,BlackHoleMisfortuneSecondary,BlackHoleMisfortuneRecoil,,BlackHoleMisfortuneSecondaryRecoil,,BlackHoleMisfortuneReload,BlackHoleMisfortuneIdle,BlackHoleMisfortuneWin,BlackHoleMisfortuneWinloop,BlackHoleMisfortuneLose,BlackHoleMisfortuneLoseloop,BlackHoleMisfortuneIdle,BlackHoleMisfortuneWin,BlackHoleMisfortuneWinloop,BlackHoleMisfortuneWin,BlackHoleMisfortuneIdle,BlackHoleMisfortuneIdle,BlackHoleMisfortuneProfile,BlackHoleMisfortuneProfile,,,,,,Tara003Still,Tara003Still,Tara003Win,Tara003WinLoop,Tara003Lose,Tara003LoseLoop,Tara003WinLoop,Tara003Win,Tara003WinLoop,Tara003Win,Tara003Still,Tara003Still,,,,true,true,Tara003Projectile,,Tara003UltiProjectile,tara_003_atk,tara_003_ulti,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackholePetDefault,BlackHolePet,tara_geo.scw,,,tara_base_cam.scw,emz_intro_pose.scw,,TaraIdle,TaraWalk,TaraPrimary,TaraSecondary,TaraRecoil,,TaraSecondaryRecoil,,TaraReload,TaraIdle,TaraWin,TaraWinloop,TaraLose,TaraLoseloop,TaraIdle,TaraWin,TaraWinloop,TaraWin,TaraIdle,TaraIdle,TaraWin,TaraWin,,,,,,,,,,,,,,,,,,,,,true,true,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BarrelbotDefault,BarrelBot,darryl_geo.scw,,,darryl_base_cam.scw,emz_intro_pose.scw,,DarrylIdle,DarrylWalk,DarrylPrimary,DarrylSecondary,DarrylRecoil,DarrylRecoil2,DarrylRecoil,,DarrylReload,DarrylPushback,DarrylWin,DarrylWinloop,DarrylLose,DarrylLoseloop,DarrylIdle,DarrylWin,DarrylWinloop,DarrylWinloop,DarrylHide,DarrylIdle,DarrylProfile,DarrylProfile,,,,,,DarrylStill,DarrylStill,DarrylWin,DarrylWinLoop,DarrylLose,DarrylLoseLoop,DarrylWinLoop,DarrylWin,DarrylWinLoop,DarrylWin,DarrylStill,DarrylStill,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BarrelbotCny,BarrelBot,darryl_cny_geo.scw,,,darryl_base_cam.scw,emz_intro_pose.scw,,DarrylCnyIdle,DarrylCnyWalk,DarrylCnyPrimary,DarrylCnySecondary,DarrylCnyRecoil,DarrylCnyRecoil2,DarrylCnyRecoil,,DarrylCnyReload,DarrylCnyPushback,DarrylCnyWin,DarrylCnyWinloop,DarrylCnyLose,DarrylCnyLoseloop,DarrylCnyIdle,DarrylCnyWin,DarrylCnyWinloop,DarrylCnyWinloop,DarrylCnyHide,DarrylCnyHide,DarrylCnyProfile,DarrylCnyProfile,,,,,,DarrylStill,DarrylStill,DarrylWin,DarrylWinLoop,DarrylLose,DarrylLoseLoop,DarrylWinLoop,DarrylWin,DarrylWinLoop,DarrylWin,DarrylStill,DarrylStill,,,,,,Darryl002Projectile,,,darryl_002_atk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BarrelBotFootball,BarrelBot,darryl_fb_geo.scw,,,darryl_base_cam.scw,emz_intro_pose.scw,,DarrylFootballIdle,DarrylFootballWalk,DarrylFootballPrimary,DarrylFootballSecondary,DarrylFootballRecoil,DarrylFootballRecoil2,DarrylFootballRecoil,,DarrylFootballReload,DarrylFootballPushback,DarrylFootballWin,DarrylFootballWinloop,DarrylFootballLose,DarrylFootballLoseloop,DarrylFootballIdle,DarrylFootballWin,DarrylFootballWinloop,DarrylFootballWinloop,DarrylFootballHide,DarrylFootballHide,DarrylFootballProfile,DarrylFootballProfile,,,,,,DarrylStill,DarrylStill,DarrylWin,DarrylWinLoop,DarrylLose,DarrylLoseLoop,DarrylWinLoop,DarrylWin,DarrylWinLoop,DarrylWin,DarrylStill,DarrylStill,,,,,,Darryl003Projectile,,,darryl_003_atk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BarrelbotDroid,BarrelBot,darryl_droid_geo.scw,,,darryl_base_cam.scw,emz_intro_pose.scw,,DarrylDroidIdle,DarrylDroidWalk,DarrylPrimary,BarrelbotSecondary,DarrylRecoil,DarrylRecoil2,DarrylRecoil,,DarrylReload,DarrylPushback,DarrylDroidWin,DarrylDroidWinloop,BarrelbotLose,BarrelbotLoseloop,DarrylDroidIdle,DarrylDroidWin,DarrylDroidWinloop,DarrylDroidWinloop,DarrylHide,DarrylHide,DarrylDroidWinloop,DarrylDroidWinloop,,,,,,,,,,,,,,,,,,,,,true,,Darryl004Projectile,,,bull_003_atk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
